ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
NSC,2021-12-31,2022-03-01,,,,,224608373,,,,,
NSC,2022-12-31,2023-03-01,3270000000.0,12745000000.0,12733000000.0,15592000000.0,224608373,3270000000.0,0.2568130055760622,0.2565712043938799,1.224534673682557,
NSC,2023-12-31,2024-02-29,1827000000.0,12156000000.0,12781000000.0,17571000000.0,224608373,1827000000.0,0.14294656130193256,0.15029615004935834,1.3747750567248258,-0.44128440366972477
NSC,2024-12-31,2025-03-01,,,,,224608373,,,,,
NSC,2025-03-31,2025-05-30,,,,,224608373,,,,,
NSC,2025-06-30,2025-08-29,768000000.0,3110000000.0,14787000000.0,17367000000.0,224608373,,,0.24694533762057877,1.1744775816595658,
NSC,2025-09-30,2025-11-29,711000000.0,3103000000.0,15141000000.0,17083000000.0,224608373,,,0.2291330970029004,1.1282610131431212,
NSC,2025-12-31,2026-03-01,644000000.0,2974000000.0,15547000000.0,17305000000.0,224608373,,,0.21654337592468056,1.1130764777770632,
NSC,2026-03-31,2026-05-30,547000000.0,2998000000.0,15804000000.0,17101000000.0,224608373,2670000000.0,0.16894457099468488,0.18245496997998667,1.0820678309288787,
NSC,2026-06-30,2026-08-29,734000000.0,3465000000.0,16253000000.0,16616000000.0,224608373,2636000000.0,0.16218544268750384,0.21183261183261184,1.0223343382760106,-0.044270833333333336
