ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
NVR,2021-12-31,2022-03-01,,,,,2678153,,,,,
NVR,2022-12-31,2023-03-01,1725575000.0,10538287000.0,3506849000.0,1007674000.0,2678153,1725575000.0,0.4920585403021345,0.16374340535610768,0.28734456487861326,
NVR,2023-12-31,2024-02-29,1591611000.0,9534889000.0,4364725000.0,1014299000.0,2678153,1591611000.0,0.364653214120019,0.16692496367812987,0.23238554548110132,-0.07763441171783318
NVR,2024-12-31,2025-03-01,,,,,2678153,,,,,
NVR,2025-03-31,2025-05-30,,,,,2678153,,,,,
NVR,2025-06-30,2025-08-29,333737000.0,2603307000.0,3845131000.0,1028893000.0,2678153,,,0.1281973274761678,0.2675833411137358,
NVR,2025-09-30,2025-11-29,342688000.0,2614386000.0,3966762000.0,1030229000.0,2678153,,,0.13107781329918383,0.2597153547402138,
NVR,2025-12-31,2026-03-01,363815000.0,2717314000.0,3864869000.0,1052893000.0,2678153,,,0.13388772883810998,0.2724265686624825,
NVR,2026-03-31,2026-05-30,198359000.0,1884692000.0,3494034000.0,1049852000.0,2678153,1238599000.0,0.35448968155432947,0.10524743565526887,0.3004698866696775,
NVR,2026-06-30,2026-08-29,236458000.0,2330339000.0,3391196000.0,1050702000.0,2678153,1141320000.0,0.33655382938644657,0.10146935703346166,0.3098322833596171,-0.291484012860426
