ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ORCL,2022-05-31,2022-07-30,,,,,2880471000,,,,,
ORCL,2023-05-31,2023-07-30,8503000000.0,49954000000.0,1073000000.0,90481000000.0,2880471000,8503000000.0,7.924510717614166,0.17021659927132962,84.32525629077354,
ORCL,2024-05-31,2024-07-30,10467000000.0,52961000000.0,8704000000.0,93124000000.0,2880471000,10467000000.0,1.2025505514705883,0.19763599629916354,10.698988970588236,0.23097730212866047
ORCL,2024-11-30,2025-01-29,,,,,2880471000,,,,,
ORCL,2025-02-28,2025-04-29,,,,,2880471000,,,,,
ORCL,2025-05-31,2025-07-30,3427000000.0,15903000000.0,20451000000.0,104104000000.0,2880471000,,,0.21549393196252278,5.090411226834874,
ORCL,2025-08-31,2025-10-30,2927000000.0,14926000000.0,24154000000.0,105409000000.0,2880471000,,,0.19610076376792174,4.364039082553615,
ORCL,2025-11-30,2026-01-29,6135000000.0,16058000000.0,29951000000.0,124386000000.0,2880471000,,,0.3820525594719143,4.1529832059029745,
ORCL,2026-02-28,2026-04-29,3721000000.0,17190000000.0,38495000000.0,153117000000.0,2880471000,16210000000.0,0.42109364852578257,0.2164630599185573,3.9775815040914404,
ORCL,2026-05-31,2026-07-30,4304000000.0,19184000000.0,42508000000.0,156189000000.0,2880471000,17087000000.0,0.4019713936200245,0.2243536280233528,3.674343652959443,0.25590895827254156
