ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ORLY,2021-12-31,2022-03-01,,,,,808960792,,,,,
ORLY,2022-12-31,2023-03-01,2172650000.0,14409860000.0,-1060752000.0,6545030000.0,808960792,2172650000.0,-2.048216736805587,0.15077523306957874,-6.170179269046865,
ORLY,2023-12-31,2024-02-29,2346581000.0,15812250000.0,-1739278000.0,7841005000.0,808960792,2346581000.0,-1.3491695979596132,0.14840272573479424,-4.50819535462416,0.08005477182242883
ORLY,2024-12-31,2025-03-01,,,,,808960792,,,,,
ORLY,2025-03-31,2025-05-30,,,,,808960792,,,,,
ORLY,2025-06-30,2025-08-29,668595000.0,4525058000.0,-1231862000.0,8312948000.0,808960792,,,0.1477539072427359,-6.748278622118387,
ORLY,2025-09-30,2025-11-29,725896000.0,4705696000.0,-894676000.0,8401656000.0,808960792,,,0.1542590086567428,-9.39072468692577,
ORLY,2025-12-31,2026-03-01,605233000.0,4414314000.0,-763352000.0,8491499000.0,808960792,,,0.13710692080354955,-11.12396247078674,
ORLY,2026-03-31,2026-05-30,604181000.0,4560539000.0,-1067055000.0,8731225000.0,808960792,2603905000.0,-2.440272525783582,0.13248017394435174,-8.182544479900287,
ORLY,2026-06-30,2026-08-29,715064000.0,4892013000.0,-1835725000.0,9587433000.0,808960792,2650374000.0,-1.4437750752427514,0.1461696851582365,-5.222695665200398,0.0695024641225256
