ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
OXY,2021-12-31,2022-03-01,,,,,999637371,,,,,
OXY,2022-12-31,2023-03-01,13304000000.0,36634000000.0,30085000000.0,20765000000.0,999637371,13304000000.0,0.4422137277713146,0.3631599060981602,0.6902110686388566,
OXY,2023-12-31,2024-02-29,4696000000.0,23156000000.0,30250000000.0,20911000000.0,999637371,4696000000.0,0.1552396694214876,0.20279841077906374,0.6912727272727273,-0.6470234515935057
OXY,2024-12-31,2025-03-01,,,,,999637371,,,,,
OXY,2025-03-31,2025-05-30,,,,,999637371,,,,,
OXY,2025-06-30,2025-08-29,458000000.0,5258000000.0,35722000000.0,24174000000.0,999637371,,,0.08710536325599087,0.6767258272213202,
OXY,2025-09-30,2025-11-29,830000000.0,6624000000.0,36261000000.0,22876000000.0,999637371,,,0.12530193236714976,0.6308706323598356,
OXY,2025-12-31,2026-03-01,102000000.0,1752000000.0,36034000000.0,23351000000.0,999637371,,,0.05821917808219178,0.6480268635177887,
OXY,2026-03-31,2026-05-30,3345000000.0,5230000000.0,38932000000.0,16611000000.0,999637371,4735000000.0,0.121622315832734,0.6395793499043977,0.4266670091441488,
OXY,2026-06-30,2026-08-29,2977000000.0,8065000000.0,41746000000.0,14626000000.0,999637371,7254000000.0,0.1737651511522062,0.36912585244885304,0.35035692042351363,5.5
