ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
PCAR,2021-12-31,2022-03-01,,,,,526364953,,,,,
PCAR,2022-12-31,2023-03-01,3011600000.0,28819700000.0,13167100000.0,11471600000.0,526364953,3011600000.0,0.22872158637816983,0.10449796493370854,0.8712320860326116,
PCAR,2023-12-31,2024-02-29,4600800000.0,35127400000.0,15878800000.0,14234500000.0,526364953,4600800000.0,0.2897448169886893,0.13097468073355842,0.8964468347734086,0.5276929207066011
PCAR,2024-12-31,2025-03-01,,,,,526364953,,,,,
PCAR,2025-03-31,2025-05-30,,,,,526364953,,,,,
PCAR,2025-06-30,2025-08-29,723800000.0,7510500000.0,18942600000.0,15938600000.0,526364953,,,0.09637174622195593,0.8414156451595873,
PCAR,2025-09-30,2025-11-29,590000000.0,6671800000.0,19368600000.0,15851400000.0,526364953,,,0.08843190743127792,0.8184071125429819,
PCAR,2025-12-31,2026-03-01,556900000.0,6820800000.0,19264000000.0,15636300000.0,526364953,,,0.08164731409805301,0.8116850083056478,
PCAR,2026-03-31,2026-05-30,605300000.0,6776500000.0,19756600000.0,14945600000.0,526364953,2476000000.0,0.12532520777866638,0.08932339703386705,0.7564864399744895,
PCAR,2026-06-30,2026-08-29,752000000.0,7546700000.0,20321300000.0,14696400000.0,526364953,2504200000.0,0.12323030514780059,0.09964620297613526,0.7232017636666945,0.03896103896103896
