ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
PCG,2021-12-31,2022-03-01,,,,,2202366906,,,,,
PCG,2022-12-31,2023-03-01,1814000000.0,21680000000.0,22823000000.0,53539000000.0,2202366906,1814000000.0,0.07948122507996319,0.08367158671586716,2.3458353415414277,
PCG,2023-12-31,2024-02-29,2256000000.0,24428000000.0,25040000000.0,57733000000.0,2202366906,2256000000.0,0.0900958466453674,0.09235303749795316,2.3056309904153354,0.24366041896361632
PCG,2024-12-31,2025-03-01,,,,,2202366906,,,,,
PCG,2025-03-31,2025-05-30,,,,,2202366906,,,,,
PCG,2025-06-30,2025-08-29,549000000.0,5898000000.0,31186000000.0,59675000000.0,2202366906,,,0.0930824008138352,1.9135188866799204,
PCG,2025-09-30,2025-11-29,850000000.0,6250000000.0,31978000000.0,59793000000.0,2202366906,,,0.136,1.8698167490149478,
PCG,2025-12-31,2026-03-01,670000000.0,6804000000.0,32540000000.0,61335000000.0,2202366906,,,0.09847148736037625,1.8849108789182545,
PCG,2026-03-31,2026-05-30,885000000.0,6881000000.0,33250000000.0,62941000000.0,2202366906,2954000000.0,0.08884210526315789,0.1286150268856271,1.8929624060150376,
PCG,2026-06-30,2026-08-29,761000000.0,5902000000.0,33901000000.0,64703000000.0,2202366906,3166000000.0,0.09338957552874547,0.12893934259573026,1.9085867673519956,0.3861566484517304
