ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
PG,2022-06-30,2022-08-29,,,,,2324433060,,,,,
PG,2023-06-30,2023-08-29,14653000000.0,82006000000.0,46777000000.0,35424000000.0,2324433060,14653000000.0,0.31325223934839774,0.17868204765504964,0.757295251940056,
PG,2024-06-30,2024-08-29,14879000000.0,84039000000.0,50286000000.0,33369000000.0,2324433060,14879000000.0,0.2958875233663445,0.17704875117504967,0.6635842978164896,0.015423462772128574
PG,2024-12-31,2025-03-01,,,,,2324433060,,,,,
PG,2025-03-31,2025-05-30,,,,,2324433060,,,,,
PG,2025-06-30,2025-08-29,3615000000.0,20889000000.0,52012000000.0,35463000000.0,2324433060,,,0.1730575901192015,0.6818234253633777,
PG,2025-09-30,2025-11-29,4750000000.0,22386000000.0,53270000000.0,35946000000.0,2324433060,,,0.2121861877959439,0.6747888117139103,
PG,2025-12-31,2026-03-01,4319000000.0,22208000000.0,53041000000.0,36639000000.0,2324433060,,,0.1944794668587896,0.6907675194660734,
PG,2026-03-31,2026-05-30,3932000000.0,21235000000.0,54505000000.0,37026000000.0,2324433060,16616000000.0,0.3048527658013026,0.18516599952907936,0.6793138244197781,
PG,2026-06-30,2026-08-29,3044000000.0,21204000000.0,54081000000.0,35026000000.0,2324433060,16045000000.0,0.2966846027255413,0.14355781927938124,0.6476581424160056,-0.15795297372060857
