ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
PH,2022-06-30,2022-08-29,1315605000.0,15861608000.0,8848011000.0,11480135000.0,126086389,1315605000.0,0.14868934950465137,0.0829427256051215,1.2974819990617101,
PH,2023-06-30,2023-08-29,2083000000.0,19065000000.0,10326888000.0,12559459000.0,126086389,2083000000.0,0.201706457937764,0.1092578022554419,1.2161901048989783,0.5833019789374471
PH,2024-06-30,2024-08-29,2844000000.0,19930000000.0,12072000000.0,10560000000.0,126086389,2844000000.0,0.2355864811133201,0.14269944806823884,0.8747514910536779,0.3653384541526644
PH,2024-12-31,2025-03-01,,,,,126086389,,,,,
PH,2025-03-31,2025-05-30,961000000.0,4960000000.0,13390974000.0,9372913000.0,126086389,,,0.19375,0.6999425881941075,
PH,2025-06-30,2025-08-29,923172000.0,5243074000.0,13682000000.0,9285000000.0,126086389,,,0.17607456999462529,0.6786288554304927,
PH,2025-09-30,2025-11-29,808000000.0,5084000000.0,13777000000.0,10333000000.0,126086389,,,0.15892997639653816,0.7500181461856718,
PH,2025-12-31,2026-03-01,845000000.0,5174000000.0,14311000000.0,9870000000.0,126086389,3537172000.0,0.24716455873104604,0.16331658291457288,0.6896792676961777,
PH,2026-03-31,2026-05-30,904000000.0,5486000000.0,14609000000.0,9582000000.0,126086389,3480172000.0,0.23822109658429735,0.16478308421436383,0.6558970497638442,-0.05931321540062435
PH,2026-06-30,2026-08-29,,,,,126086389,,,,,
