ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
PSKY,2021-12-31,2022-03-01,4543000000.0,28586000000.0,,,1090445692,4543000000.0,,0.15892394878611907,,
PSKY,2022-12-31,2023-03-01,1104000000.0,30154000000.0,23036000000.0,17274000000.0,1090445692,1104000000.0,0.04792498697690571,0.03661205810174438,0.749869769057128,-0.7569887739379265
PSKY,2023-12-31,2024-02-29,-608000000.0,29652000000.0,22526000000.0,15858000000.0,1090445692,-608000000.0,-0.026991032584568943,-0.020504519088088494,0.7039865044837077,-1.5507246376811594
PSKY,2024-12-31,2025-03-01,-224000000.0,7984000000.0,,,1090445692,,,-0.028056112224448898,,
PSKY,2025-03-31,2025-05-30,152000000.0,7192000000.0,,,1090445692,,,0.021134593993325918,,
PSKY,2025-06-30,2025-08-29,57000000.0,6849000000.0,16705000000.0,15507000000.0,1090445692,,,0.008322382829610162,0.9282849446273571,
PSKY,2025-09-30,2025-11-29,,,12005000000.0,14733000000.0,1090445692,,,,1.2272386505622657,
PSKY,2025-12-31,2026-03-01,,,11693000000.0,14808000000.0,1090445692,,,,1.2663987000769692,
PSKY,2026-03-31,2026-05-30,168000000.0,7347000000.0,11705000000.0,16595000000.0,1090445692,,,0.022866476112699062,1.417770183682187,0.10526315789473684
PSKY,2026-06-30,2026-08-29,41000000.0,6913000000.0,11771000000.0,16202000000.0,1090445692,,,0.005930854911037176,1.3764336080197095,-0.2807017543859649
