ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
PSX,2021-12-31,2022-03-01,,,,,400935020,,,,,
PSX,2022-12-31,2023-03-01,11024000000.0,169990000000.0,29494000000.0,17190000000.0,400935020,11024000000.0,0.3737709364616532,0.06485087358079887,0.5828304061843087,
PSX,2023-12-31,2024-02-29,7015000000.0,147399000000.0,30583000000.0,19359000000.0,400935020,7015000000.0,0.22937579701141156,0.04759191039287919,0.6329987247817415,-0.3636611030478955
PSX,2024-12-31,2025-03-01,,,,,400935020,,,,,
PSX,2025-03-31,2025-05-30,,,,,400935020,,,,,
PSX,2025-06-30,2025-08-29,877000000.0,33323000000.0,27491000000.0,20935000000.0,400935020,,,0.026318158629175043,0.7615219526390455,
PSX,2025-09-30,2025-11-29,133000000.0,34515000000.0,26917000000.0,21755000000.0,400935020,,,0.003853397073736057,0.8082252851357878,
PSX,2025-12-31,2026-03-01,2906000000.0,34108000000.0,29093000000.0,19716000000.0,400935020,,,0.08519995309018412,0.6776887911181384,
PSX,2026-03-31,2026-05-30,207000000.0,32540000000.0,28528000000.0,27124000000.0,400935020,4123000000.0,0.14452467750981493,0.00636140135218193,0.9507851934941111,
PSX,2026-06-30,2026-08-29,3847000000.0,51004000000.0,31506000000.0,20565000000.0,400935020,7093000000.0,0.22513172094204278,0.07542545682691554,0.6527328127975623,3.3865450399087798
