ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
QCOM,2021-09-30,2021-11-29,,,,,1050000000,,,,,
QCOM,2022-09-30,2022-11-29,12936000000.0,44200000000.0,18013000000.0,15482000000.0,1050000000,12936000000.0,0.718148004219175,0.29266968325791853,0.8594903680675068,
QCOM,2023-09-30,2023-11-29,7232000000.0,35820000000.0,21581000000.0,15398000000.0,1050000000,7232000000.0,0.3351095871368333,0.20189838079285316,0.7134979843380752,-0.4409400123685838
QCOM,2024-09-30,2024-11-29,10142000000.0,38962000000.0,26274000000.0,14634000000.0,1050000000,10142000000.0,0.38600898226383495,0.26030491247882553,0.5569764786480932,0.4023783185840708
QCOM,2024-12-31,2025-03-01,,,,,1050000000,,,,,
QCOM,2025-03-31,2025-05-30,,,,,1050000000,,,,,
QCOM,2025-06-30,2025-08-29,2666000000.0,10365000000.0,27209000000.0,14788000000.0,1050000000,,,0.2572117703810902,0.543496637142122,
QCOM,2025-09-30,2025-11-29,-3117000000.0,11271000000.0,21206000000.0,14811000000.0,1050000000,,,-0.27655043918019695,0.6984344053569744,
QCOM,2025-12-31,2026-03-01,3004000000.0,12252000000.0,23073000000.0,14817000000.0,1050000000,,,0.24518445968005223,0.642179170458978,
QCOM,2026-03-31,2026-05-30,7370000000.0,10599000000.0,27278000000.0,15270000000.0,1050000000,9923000000.0,0.3637730038859154,0.6953486177941315,0.5597917735904392,
QCOM,2026-06-30,2026-08-29,2002000000.0,9947000000.0,27658000000.0,15270000000.0,1050000000,9259000000.0,0.33476751753561357,0.20126671358198453,0.5521006580374576,-0.2490622655663916
