ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
RCL,2021-12-31,2022-03-01,,,,,267452084,,,,,
RCL,2022-12-31,2023-03-01,-2156000000.0,8840000000.0,2869000000.0,23994000000.0,267452084,-2156000000.0,-0.7514813523875915,-0.24389140271493212,8.363192750087139,
RCL,2023-12-31,2024-02-29,1697000000.0,13900000000.0,4724000000.0,22130000000.0,267452084,1697000000.0,0.359229466553768,0.1220863309352518,4.68458933107536,1.7871057513914657
RCL,2024-12-31,2025-03-01,,,,,267452084,,,,,
RCL,2025-03-31,2025-05-30,,,,,267452084,,,,,
RCL,2025-06-30,2025-08-29,1210000000.0,4538000000.0,9169000000.0,19737000000.0,267452084,,,0.2666372851476421,2.1525793434398515,
RCL,2025-09-30,2025-11-29,1575000000.0,5139000000.0,10092000000.0,20975000000.0,267452084,,,0.3064798598949212,2.0783789139912803,
RCL,2025-12-31,2026-03-01,754000000.0,4258000000.0,10037000000.0,22035000000.0,267452084,,,0.17707844058243308,2.1953771047125636,
RCL,2026-03-31,2026-05-30,941000000.0,4452000000.0,9810000000.0,21792000000.0,267452084,4480000000.0,0.4566768603465851,0.21136567834681042,2.221406727828746,
RCL,2026-06-30,2026-08-29,1128000000.0,4832000000.0,10236000000.0,23518000000.0,267452084,4398000000.0,0.4296600234466589,0.23344370860927152,2.297577178585385,-0.06776859504132231
