ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
RJF,2021-09-30,2021-11-29,,,,,192100000,,,,,
RJF,2022-09-30,2022-11-29,1509000000.0,10851000000.0,9458000000.0,3329000000.0,192100000,1509000000.0,0.1595474730386974,0.13906552391484656,0.351977162190738,
RJF,2023-09-30,2023-11-29,1739000000.0,11468000000.0,10214000000.0,3139000000.0,192100000,1739000000.0,0.17025651067162717,0.15163934426229508,0.3073232817701194,0.15241882041086813
RJF,2024-09-30,2024-11-29,2068000000.0,12639000000.0,11673000000.0,3089000000.0,192100000,2068000000.0,0.17716096975927353,0.16362053959965187,0.26462777349438876,0.1891891891891892
RJF,2024-12-31,2025-03-01,,,,,192100000,,,,,
RJF,2025-03-31,2025-05-30,,,,,192100000,,,,,
RJF,2025-06-30,2025-08-29,436000000.0,3342000000.0,12259000000.0,2889000000.0,192100000,,,0.13046080191502094,0.23566359409413493,
RJF,2025-09-30,2025-11-29,604000000.0,3667000000.0,12503000000.0,4220000000.0,192100000,,,0.16471229888191982,0.33751899544109415,
RJF,2025-12-31,2026-03-01,563000000.0,3672000000.0,12570000000.0,4221000000.0,192100000,,,0.15332244008714596,0.33579952267303104,
RJF,2026-03-31,2026-05-30,544000000.0,3796000000.0,12567000000.0,4221000000.0,192100000,2147000000.0,0.17084427468767407,0.14330874604847207,0.335879684888995,
RJF,2026-06-30,2026-08-29,595000000.0,3865000000.0,12699000000.0,4472000000.0,192100000,2306000000.0,0.18158910150405544,0.1539456662354463,0.3521537128907788,0.3646788990825688
