ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
SNA,2021-12-31,2022-03-01,,,,,51727124,,,,,
SNA,2022-12-31,2023-03-01,911700000.0,4842500000.0,4481300000.0,1265100000.0,51727124,911700000.0,0.2034454287818267,0.18827052142488385,0.28230647356793787,
SNA,2023-12-31,2024-02-29,1011100000.0,5108300000.0,5071300000.0,1278600000.0,51727124,1011100000.0,0.1993768856111845,0.19793277607031692,0.25212470175300217,0.10902709224525611
SNA,2024-12-31,2025-03-01,,,,,51727124,,,,,
SNA,2025-03-31,2025-05-30,,,,,51727124,,,,,
SNA,2025-06-30,2025-08-29,250300000.0,1281100000.0,5715500000.0,1271100000.0,51727124,,,0.1953789711966279,0.2223952410112851,
SNA,2025-09-30,2025-11-29,265400000.0,1291900000.0,5819000000.0,1272100000.0,51727124,,,0.2054338571096834,0.21861144526550955,
SNA,2025-12-31,2026-03-01,260700000.0,1339900000.0,5931800000.0,1291900000.0,51727124,,,0.1945667587133368,0.21779223844364273,
SNA,2026-03-31,2026-05-30,247000000.0,1308300000.0,5958100000.0,1271000000.0,51727124,1023400000.0,0.17176616706668232,0.188794618971184,0.21332303922391366,
SNA,2026-06-30,2026-08-29,260600000.0,1334800000.0,6041300000.0,1279300000.0,51727124,1033700000.0,0.1711055567510304,0.1952352412346419,0.21175905848079055,0.04115061925689173
