ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
SNPS,2021-10-31,2021-12-30,,,,,191479325,,,,,
SNPS,2022-10-31,2022-12-30,984594000.0,4615714000.0,5515725000.0,656371000.0,191479325,984594000.0,0.17850672395741268,0.2133134765282251,0.118999950142547,
SNPS,2023-10-31,2023-12-30,1229888000.0,5318014000.0,6147308000.0,677596000.0,191479325,1229888000.0,0.20006936369545825,0.2312682892523412,0.11022646010253594,0.2491321295884395
SNPS,2024-10-31,2024-12-30,2263380000.0,6127436000.0,8990702000.0,684457000.0,191479325,2263380000.0,0.25174674903027594,0.36938451907127223,0.07612942793566065,0.8403139147629702
SNPS,2025-01-31,2025-04-01,,,,,191479325,,,,,
SNPS,2025-04-30,2025-06-29,345332000.0,1604266000.0,9915718000.0,10742251000.0,191479325,,,0.21525856684614647,1.083355839688059,
SNPS,2025-07-31,2025-09-29,242509000.0,1739737000.0,27614531000.0,15140314000.0,191479325,,,0.13939405783747774,0.5482734434273028,
SNPS,2025-10-31,2025-12-30,448696000.0,2254860000.0,28327602000.0,14293418000.0,191479325,,,0.19899062469510304,0.5045756432189353,
SNPS,2026-01-31,2026-04-01,64958000.0,2408798000.0,30548827000.0,10868557000.0,191479325,1101495000.0,0.036056867257129054,0.02696697689054873,0.3557765736798994,
SNPS,2026-04-30,2026-06-29,17105000.0,2275985000.0,30478131000.0,10841960000.0,191479325,773268000.0,0.02537124077588616,0.007515427386384357,0.3557291620014364,-0.9504679554747315
