ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
SPGI,2021-12-31,2022-03-01,,,,,294800000,,,,,
SPGI,2022-12-31,2023-03-01,3248000000.0,11181000000.0,36388000000.0,11533000000.0,294800000,3248000000.0,0.08926019566890184,0.2904928002861998,0.3169451467516764,
SPGI,2023-12-31,2024-02-29,2626000000.0,12497000000.0,34200000000.0,12000000000.0,294800000,2626000000.0,0.07678362573099415,0.21013043130351283,0.3508771929824561,-0.1915024630541872
SPGI,2024-12-31,2025-03-01,,,,,294800000,,,,,
SPGI,2025-03-31,2025-05-30,,,,,294800000,,,,,
SPGI,2025-06-30,2025-08-29,1072000000.0,3755000000.0,33390000000.0,11900000000.0,294800000,,,0.28548601864181095,0.35639412997903563,
SPGI,2025-09-30,2025-11-29,1176000000.0,3888000000.0,33133000000.0,11866000000.0,294800000,,,0.30246913580246915,0.3581323755772191,
SPGI,2025-12-31,2026-03-01,1134000000.0,3916000000.0,31127000000.0,13582000000.0,294800000,,,0.2895812053115424,0.4363414399074758,
SPGI,2026-03-31,2026-05-30,1395000000.0,4171000000.0,31173000000.0,13776000000.0,294800000,4777000000.0,0.15324158727103585,0.3344521697434668,0.4419208930805505,
SPGI,2026-06-30,2026-08-29,1217000000.0,4146000000.0,31501000000.0,15622000000.0,294800000,4922000000.0,0.156249007968001,0.2935359382537385,0.49592076442017713,0.13526119402985073
