ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
SRE,2021-12-31,2022-03-01,,,,,653900348,,,,,
SRE,2022-12-31,2023-03-01,2139000000.0,14439000000.0,27135000000.0,28919000000.0,653900348,2139000000.0,0.07882808181315644,0.1481404529399543,1.0657453473373872,
SRE,2023-12-31,2024-02-29,3075000000.0,16720000000.0,28695000000.0,31076000000.0,653900348,3075000000.0,0.10716152639832724,0.18391148325358853,1.082976128245339,0.4375876577840112
SRE,2024-12-31,2025-03-01,,,,,653900348,,,,,
SRE,2025-03-31,2025-05-30,,,,,653900348,,,,,
SRE,2025-06-30,2025-08-29,473000000.0,3000000000.0,31717000000.0,38590000000.0,653900348,,,0.15766666666666668,1.2166976700192327,
SRE,2025-09-30,2025-11-29,95000000.0,3151000000.0,31172000000.0,32693000000.0,653900348,,,0.030149158997143762,1.048793789298088,
SRE,2025-12-31,2026-03-01,352000000.0,3749000000.0,31614000000.0,35021000000.0,653900348,,,0.0938917044545212,1.107768710065161,
SRE,2026-03-31,2026-05-30,1037000000.0,3655000000.0,32259000000.0,36433000000.0,653900348,1957000000.0,0.060665240708019465,0.2837209302325581,1.1293902476828173,
SRE,2026-06-30,2026-08-29,797000000.0,2997000000.0,32705000000.0,36664000000.0,653900348,2281000000.0,0.06974468735667329,0.2659325992659326,1.1210518269377772,0.6849894291754757
