ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
TAP,2021-12-31,2022-03-01,,,,,174117990,,,,,
TAP,2022-12-31,2023-03-01,-175300000.0,10701000000.0,12689700000.0,6607000000.0,174117990,-175300000.0,-0.013814353373208193,-0.01638164657508644,0.5206584868042585,
TAP,2023-12-31,2024-02-29,948900000.0,11702100000.0,13196000000.0,6270800000.0,174117990,948900000.0,0.07190815398605638,0.08108800984438691,0.4752046074568051,6.413006274957216
TAP,2024-12-31,2025-03-01,,,,,174117990,,,,,
TAP,2025-03-31,2025-05-30,,,,,174117990,,,,,
TAP,2025-06-30,2025-08-29,428700000.0,3200800000.0,13440700000.0,6319300000.0,174117990,,,0.13393526618345414,0.47016152432536995,
TAP,2025-09-30,2025-11-29,-2927600000.0,2973500000.0,10325100000.0,6292000000.0,174117990,,,-0.9845636455355642,0.6093887710530649,
TAP,2025-12-31,2026-03-01,238300000.0,2662400000.0,10230300000.0,6352300000.0,174117990,,,0.08950570913461539,0.620929982502957,
TAP,2026-03-31,2026-05-30,151300000.0,2351100000.0,10055800000.0,6271900000.0,174117990,-2109300000.0,-0.20975954175699596,0.064352856109906,0.6237096998746992,
TAP,2026-06-30,2026-08-29,231700000.0,3096500000.0,10119500000.0,7709600000.0,174117990,-2306300000.0,-0.2279065171204111,0.07482641692233166,0.761855822916152,-0.4595288080242594
