ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
TER,2021-12-31,2022-03-01,,,,,156340750,,,,,
TER,2022-12-31,2023-03-01,715501000.0,3155045000.0,2451294000.0,132885000.0,156340750,715501000.0,0.29188706046683915,0.22677996668827227,0.05421014370369283,
TER,2023-12-31,2024-02-29,448752000.0,2676298000.0,2525897000.0,82614000.0,156340750,448752000.0,0.17766045092099955,0.16767639478114918,0.032706796832966664,-0.3728142937605957
TER,2024-12-31,2025-03-01,,,,,156340750,,,,,
TER,2025-03-31,2025-05-30,,,,,156340750,,,,,
TER,2025-06-30,2025-08-29,78372000.0,651797000.0,2837301000.0,74461000.0,156340750,,,0.12023989064079767,0.026243602635039425,
TER,2025-09-30,2025-11-29,119558000.0,769210000.0,2717275000.0,68751000.0,156340750,,,0.15542959659910818,0.02530145090209861,
TER,2025-12-31,2026-03-01,257220000.0,1083337000.0,2795752000.0,283239000.0,156340750,,,0.23743304253431757,0.10131048819780868,
TER,2026-03-31,2026-05-30,398908000.0,1282494000.0,3143816000.0,82398000.0,156340750,854058000.0,0.27166284540825547,0.3110408313801078,0.02620954915936556,
TER,2026-06-30,2026-08-29,374533000.0,1328990000.0,3437162000.0,100127000.0,156340750,1150219000.0,0.3346420680782576,0.2818177713903039,0.029130718889595543,3.778913387434288
