ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
TRGP,2021-12-31,2022-03-01,,,,,214431021,,,,,
TRGP,2022-12-31,2023-03-01,1195500000.0,20929800000.0,2665700000.0,11565000000.0,214431021,1195500000.0,0.44847507221367744,0.05711951380328527,4.338447687286641,
TRGP,2023-12-31,2024-02-29,1345900000.0,16060300000.0,2739700000.0,13010400000.0,214431021,1345900000.0,0.49125816695258606,0.08380291775371568,4.748841113990583,0.12580510246758678
TRGP,2024-12-31,2025-03-01,,,,,214431021,,,,,
TRGP,2025-03-31,2025-05-30,,,,,214431021,,,,,
TRGP,2025-06-30,2025-08-29,629100000.0,4260100000.0,2588100000.0,16850500000.0,214431021,,,0.1476725898453088,6.510760789768556,
TRGP,2025-09-30,2025-11-29,478400000.0,4151200000.0,2706800000.0,17431300000.0,214431021,,,0.1152437849296589,6.439818235554899,
TRGP,2025-12-31,2026-03-01,545000000.0,4055500000.0,3067900000.0,17522000000.0,214431021,,,0.1343854025397608,5.7113986766191855,
TRGP,2026-03-31,2026-05-30,479600000.0,4094700000.0,3136500000.0,19131800000.0,214431021,2132100000.0,0.6797704447632712,0.11712701785234572,6.099728997289973,
TRGP,2026-06-30,2026-08-29,764600000.0,4440100000.0,3656500000.0,19578000000.0,214431021,2267600000.0,0.6201558867769725,0.17220332875385688,5.354300560645426,0.21538706088062312
