ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
TRV,2021-12-31,2022-03-01,,,,,208575022,,,,,
TRV,2022-12-31,2023-03-01,2842000000.0,36896000000.0,21560000000.0,7292000000.0,208575022,2842000000.0,0.1318181818181818,0.0770273200346921,0.3382189239332096,
TRV,2023-12-31,2024-02-29,2991000000.0,41373000000.0,24921000000.0,8031000000.0,208575022,2991000000.0,0.12001926086433129,0.07229352476252629,0.3222583363428434,0.05242786769880366
TRV,2024-12-31,2025-03-01,,,,,208575022,,,,,
TRV,2025-03-31,2025-05-30,,,,,208575022,,,,,
TRV,2025-06-30,2025-08-29,1509000000.0,12116000000.0,29518000000.0,8034000000.0,208575022,,,0.12454605480356554,0.27217291144386474,
TRV,2025-09-30,2025-11-29,1888000000.0,12470000000.0,31609000000.0,9267000000.0,208575022,,,0.15140336808340016,0.2931759941788731,
TRV,2025-12-31,2026-03-01,2496000000.0,12432000000.0,32894000000.0,9267000000.0,208575022,,,0.20077220077220076,0.2817231105976774,
TRV,2026-03-31,2026-05-30,1711000000.0,11924000000.0,31986000000.0,9268000000.0,208575022,7604000000.0,0.23772900644031764,0.14349211673934922,0.28975176639779904,
TRV,2026-06-30,2026-08-29,2208000000.0,12153000000.0,33121000000.0,9068000000.0,208575022,8303000000.0,0.25068687539627427,0.181683534929647,0.2737840041061562,0.46322067594433397
