ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
TSCO,2021-12-31,2022-03-01,,,,,521040137,,,,,
TSCO,2022-12-31,2023-03-01,1088712000.0,14204717000.0,2042416000.0,4270204000.0,521040137,1088712000.0,0.5330510532624108,0.07664439918091998,2.090761137789755,
TSCO,2023-12-31,2024-02-29,1107226000.0,14555741000.0,2149762000.0,5036018000.0,521040137,1107226000.0,0.515045851587292,0.07606799269099389,2.342593273115815,0.01700541557363196
TSCO,2024-12-31,2025-03-01,,,,,521040137,,,,,
TSCO,2025-03-31,2025-05-30,,,,,521040137,,,,,
TSCO,2025-06-30,2025-08-29,430043000.0,4439729000.0,2490309000.0,5557383000.0,521040137,,,0.09686244363113154,2.2316037889273983,
TSCO,2025-09-30,2025-11-29,259268000.0,3719044000.0,2573185000.0,5722283000.0,521040137,,,0.06971361457406795,2.2238132897556917,
TSCO,2025-12-31,2026-03-01,227407000.0,3898320000.0,2581293000.0,5942895000.0,521040137,,,0.05833461593712163,2.3022938504075285,
TSCO,2026-03-31,2026-05-30,164524000.0,3592046000.0,2513749000.0,6408752000.0,521040137,1081242000.0,0.43013125017652915,0.04580230876776077,2.5494796815433842,
TSCO,2026-06-30,2026-08-29,360715000.0,4541314000.0,2631565000.0,6544952000.0,521040137,1011914000.0,0.38452935800559745,0.07942965406047676,2.4870949416031904,-0.16121178579816436
