ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
TSLA,2021-12-31,2022-03-01,,,,,3949547394,,,,,
TSLA,2022-12-31,2023-03-01,12583000000.0,81462000000.0,44704000000.0,5748000000.0,3949547394,12583000000.0,0.28147369362920543,0.15446465836831896,0.12857909806728704,
TSLA,2023-12-31,2024-02-29,14999000000.0,96773000000.0,62634000000.0,9573000000.0,3949547394,14999000000.0,0.23947057508701344,0.15499157822946483,0.15284031037455695,0.19200508622744974
TSLA,2024-12-31,2025-03-01,,,,,3949547394,,,,,
TSLA,2025-03-31,2025-05-30,,,,,3949547394,,,,,
TSLA,2025-06-30,2025-08-29,1172000000.0,22496000000.0,77314000000.0,13134000000.0,3949547394,,,0.05209815078236131,0.16987867656569314,
TSLA,2025-09-30,2025-11-29,1373000000.0,28095000000.0,79970000000.0,13788000000.0,3949547394,,,0.04886990567716676,0.17241465549581092,
TSLA,2025-12-31,2026-03-01,840000000.0,24901000000.0,82137000000.0,14719000000.0,3949547394,,,0.033733584996586484,0.17920060386914546,
TSLA,2026-03-31,2026-05-30,477000000.0,22387000000.0,84116000000.0,15890000000.0,3949547394,3862000000.0,0.04591278710352371,0.02130700853173717,0.18890579675685956,
TSLA,2026-06-30,2026-08-29,1114000000.0,28236000000.0,86858000000.0,16080000000.0,3949547394,3804000000.0,0.043795620437956206,0.039453180337158236,0.18512975200902623,-0.04948805460750853
