ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
TXT,2021-12-31,2022-03-01,,,,,171986917,,,,,
TXT,2022-12-31,2023-03-01,861000000.0,12869000000.0,7113000000.0,3557000000.0,171986917,861000000.0,0.12104597216364403,0.06690496542077862,0.5000702938282019,
TXT,2023-12-31,2024-02-29,921000000.0,13683000000.0,6987000000.0,3874000000.0,171986917,921000000.0,0.13181623014169172,0.06730980048235036,0.5544582796622298,0.06968641114982578
TXT,2024-12-31,2025-03-01,,,,,171986917,,,,,
TXT,2025-03-31,2025-05-30,,,,,171986917,,,,,
TXT,2025-06-30,2025-08-29,245000000.0,3716000000.0,7433000000.0,3734000000.0,171986917,,,0.06593110871905275,0.5023543656666218,
TXT,2025-09-30,2025-11-29,234000000.0,3602000000.0,7493000000.0,3734000000.0,171986917,,,0.06496390893947807,0.4983317763245696,
TXT,2025-12-31,2026-03-01,235000000.0,4175000000.0,7875000000.0,3878000000.0,171986917,,,0.0562874251497006,0.49244444444444446,
TXT,2026-03-31,2026-05-30,220000000.0,3695000000.0,8002000000.0,3805000000.0,171986917,934000000.0,0.11672081979505124,0.05953991880920163,0.47550612346913274,
TXT,2026-06-30,2026-08-29,248000000.0,3827000000.0,8054000000.0,3805000000.0,171986917,937000000.0,0.11633970697789918,0.06480271753331591,0.47243605661782967,0.012244897959183673
