ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
TYL,2021-12-31,2022-03-01,,,,,40952274,,,,,
TYL,2022-12-31,2023-03-01,164240000.0,1850204000.0,2624389000.0,1046174000.0,40952274,164240000.0,0.06258218579638918,0.08876858984198499,0.39863526329366566,
TYL,2023-12-31,2024-02-29,165919000.0,1951751000.0,2937995000.0,696889000.0,40952274,165919000.0,0.0564735474362618,0.08501033174826092,0.23719883798304625,0.010222844617632733
TYL,2024-12-31,2025-03-01,,,,,40952274,,,,,
TYL,2025-03-31,2025-05-30,,,,,40952274,,,,,
TYL,2025-06-30,2025-08-29,84627000.0,596117000.0,3634667000.0,641718000.0,40952274,,,0.14196374201708725,0.17655482606797265,
TYL,2025-09-30,2025-11-29,84393000.0,595879000.0,3602767000.0,643448000.0,40952274,,,0.14162774657271024,0.17859828293086952,
TYL,2025-12-31,2026-03-01,65531000.0,575179000.0,3702789000.0,642608000.0,40952274,,,0.11393148915381125,0.1735470209077536,
TYL,2026-03-31,2026-05-30,81180000.0,613503000.0,3558233000.0,47960000.0,40952274,315731000.0,0.08873252538549331,0.1323220913345167,0.013478600192848529,
TYL,2026-06-30,2026-08-29,93512000.0,645096000.0,3037231000.0,1455030000.0,40952274,324616000.0,0.1068789301834467,0.14495826977690143,0.479064648029735,0.10499013317262812
