ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
UDR,2021-12-31,2022-03-01,,,,,321264222,,,,,
UDR,2022-12-31,2023-03-01,86924000.0,1517386000.0,4098085000.0,5676541000.0,321264222,86924000.0,0.021210882643966634,0.05728535784566353,1.3851691704784064,
UDR,2023-12-31,2024-02-29,444353000.0,1627501000.0,3991144000.0,5984545000.0,321264222,444353000.0,0.11133474512570832,0.273027789230237,1.499456045685147,4.1119713772951085
UDR,2024-12-31,2025-03-01,,,,,321264222,,,,,
UDR,2025-03-31,2025-05-30,,,,,321264222,,,,,
UDR,2025-06-30,2025-08-29,37673000.0,425399000.0,3324816000.0,5956016000.0,321264222,,,0.08855921146970257,1.7913821396432164,
UDR,2025-09-30,2025-11-29,40409000.0,431864000.0,3274966000.0,6013665000.0,321264222,,,0.09356880869903487,1.8362526511725619,
UDR,2025-12-31,2026-03-01,222902000.0,433106000.0,3288462000.0,6004332000.0,321264222,,,0.5146592289185558,1.825878480578459,
UDR,2026-03-31,2026-05-30,189831000.0,425849000.0,3285680000.0,5845311000.0,321264222,490815000.0,0.14938003700908184,0.44577068397483616,1.779026259404446,
UDR,2026-06-30,2026-08-29,69035000.0,425399000.0,2938683000.0,5994848000.0,321264222,522177000.0,0.1776908227256904,0.1622829390760204,2.0399777723558477,0.8324794945982534
