ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
UHS,2021-12-31,2022-03-01,,,,,51687770,,,,,
UHS,2022-12-31,2023-03-01,675609000.0,13399370000.0,5920582000.0,5271278000.0,51687770,675609000.0,0.11411192345617373,0.050420952626877236,0.8903310519134774,
UHS,2023-12-31,2024-02-29,717795000.0,14281976000.0,6149001000.0,5366628000.0,51687770,717795000.0,0.1167335962378279,0.050258801723234936,0.872764209991184,0.06244144172146907
UHS,2024-12-31,2025-03-01,,,,,51687770,,,,,
UHS,2025-03-31,2025-05-30,,,,,51687770,,,,,
UHS,2025-06-30,2025-08-29,353218000.0,4283816000.0,7030048000.0,5007997000.0,51687770,,,0.0824540549827537,0.7123702427067354,
UHS,2025-09-30,2025-11-29,372957000.0,4495245000.0,7169693000.0,5110921000.0,51687770,,,0.08296700179856716,0.712850745492171,
UHS,2025-12-31,2026-03-01,445941000.0,4486048000.0,7275792000.0,5166503000.0,51687770,,,0.09940620341110928,0.7100949284971313,
UHS,2026-03-31,2026-05-30,348682000.0,4495182000.0,7464857000.0,5125817000.0,51687770,1520798000.0,0.20372768024893176,0.07756793829482321,0.6866597712454505,
UHS,2026-06-30,2026-08-29,358447000.0,4638012000.0,7513812000.0,5262175000.0,51687770,1526027000.0,0.20309624462256975,0.07728462108334347,0.7003335989774564,0.014803888816538229
