ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
UPS,2021-12-31,2022-03-01,,,,,749349405,,,,,
UPS,2022-12-31,2023-03-01,11548000000.0,100338000000.0,19786000000.0,23521000000.0,749349405,11548000000.0,0.5836450015162236,0.1150909924455341,1.1887698372586677,
UPS,2023-12-31,2024-02-29,6708000000.0,90958000000.0,17306000000.0,26729000000.0,749349405,6708000000.0,0.3876112330983474,0.07374832340200972,1.5444932393389577,-0.41912019397298234
UPS,2024-12-31,2025-03-01,,,,,749349405,,,,,
UPS,2025-03-31,2025-05-30,,,,,749349405,,,,,
UPS,2025-06-30,2025-08-29,1283000000.0,21221000000.0,15750000000.0,28909000000.0,749349405,,,0.06045897931294472,1.8354920634920635,
UPS,2025-09-30,2025-11-29,1311000000.0,21415000000.0,15823000000.0,29211000000.0,749349405,,,0.06121877188886295,1.8461100929027365,
UPS,2025-12-31,2026-03-01,1791000000.0,24479000000.0,16227000000.0,28590000000.0,749349405,,,0.07316475346215123,1.7618783508966538,
UPS,2026-03-31,2026-05-30,864000000.0,21202000000.0,15763000000.0,28662000000.0,749349405,5249000000.0,0.3329949882636554,0.040750872559192526,1.8183086975829474,
UPS,2026-06-30,2026-08-29,604000000.0,22834000000.0,15067000000.0,28673000000.0,749349405,4570000000.0,0.30331187363111434,0.02645178242971008,1.9030331187363112,-0.5292283710054559
