ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
VICI,2021-12-31,2022-03-01,,,,,1101077562,,,,,
VICI,2022-12-31,2023-03-01,1117635000.0,2600697000.0,21933637000.0,14568973000.0,1101077562,1117635000.0,0.0509552975641933,0.42974441082525183,0.6642296943274844,
VICI,2023-12-31,2024-02-29,2513540000.0,3611988000.0,25255931000.0,17628522000.0,1101077562,2513540000.0,0.0995227616039971,0.6958882476907454,0.6979953342444593,1.248981107427738
VICI,2024-12-31,2025-03-01,,,,,1101077562,,,,,
VICI,2025-03-31,2025-05-30,,,,,1101077562,,,,,
VICI,2025-06-30,2025-08-29,865079000.0,1001334000.0,27024451000.0,17838171000.0,1101077562,,,0.8639265220196258,0.6600752407514218,
VICI,2025-09-30,2025-11-29,762040000.0,1007488000.0,27673589000.0,17680157000.0,1101077562,,,0.7563762546055139,0.6388819679297831,
VICI,2025-12-31,2026-03-01,604767000.0,1013090000.0,27797640000.0,17689740000.0,1101077562,,,0.5969528867129278,0.6363756059866953,
VICI,2026-03-31,2026-05-30,872390000.0,1018521000.0,28188653000.0,17701677000.0,1101077562,3104276000.0,0.1101250208727604,0.8565262768268892,0.6279717232320395,
VICI,2026-06-30,2026-08-29,526521000.0,1058505000.0,29170749000.0,17843674000.0,1101077562,2765718000.0,0.0948113468049792,0.4974194736916689,0.6116974918950487,-0.3913607890146449
