ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
VLO,2021-12-31,2022-03-01,,,,,287927461,,,,,
VLO,2022-12-31,2023-03-01,11528000000.0,176383000000.0,23561000000.0,12722000000.0,287927461,11528000000.0,0.4892831373880565,0.06535777257445445,0.5399601035609694,
VLO,2023-12-31,2024-02-29,8835000000.0,144766000000.0,26346000000.0,12637000000.0,287927461,8835000000.0,0.3353450239125484,0.061029523506900794,0.47965535565171186,-0.2336051353226926
VLO,2024-12-31,2025-03-01,,,,,287927461,,,,,
VLO,2025-03-31,2025-05-30,,,,,287927461,,,,,
VLO,2025-06-30,2025-08-29,714000000.0,29889000000.0,24078000000.0,10647000000.0,287927461,,,0.023888387032018468,0.44218788935958137,
VLO,2025-09-30,2025-11-29,1095000000.0,32168000000.0,23754000000.0,10581000000.0,287927461,,,0.034040039791096745,0.44544076787067444,
VLO,2025-12-31,2026-03-01,1134000000.0,30372000000.0,23725000000.0,11703000000.0,287927461,,,0.037337020940339784,0.49327713382507904,
VLO,2026-03-31,2026-05-30,1263000000.0,32381000000.0,23870000000.0,11491000000.0,287927461,4206000000.0,0.17620444072056976,0.039004354405361166,0.481399245915375,
VLO,2026-06-30,2026-08-29,3720000000.0,44476000000.0,25001000000.0,11349000000.0,287927461,7212000000.0,0.2884684612615495,0.08364061516323411,0.45394184232630697,4.2100840336134455
