ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
VRSK,2021-12-31,2022-03-01,,,,,130156012,,,,,
VRSK,2022-12-31,2023-03-01,954300000.0,2497000000.0,1749300000.0,3955500000.0,130156012,954300000.0,0.5455324987137712,0.3821786143372046,2.261190190361859,
VRSK,2023-12-31,2024-02-29,614400000.0,2681400000.0,310000000.0,3095400000.0,130156012,614400000.0,1.9819354838709677,0.22913403445961064,9.98516129032258,-0.356177302734989
VRSK,2024-12-31,2025-03-01,,,,,130156012,,,,,
VRSK,2025-03-31,2025-05-30,,,,,130156012,,,,,
VRSK,2025-06-30,2025-08-29,253300000.0,772600000.0,311700000.0,3427800000.0,130156012,,,0.3278539994822677,10.99711260827719,
VRSK,2025-09-30,2025-11-29,225500000.0,768300000.0,376700000.0,4888800000.0,130156012,,,0.2935051412208773,12.9779665516326,
VRSK,2025-12-31,2026-03-01,197200000.0,778800000.0,309000000.0,4900400000.0,130156012,,,0.2532100667693888,15.858899676375405,
VRSK,2026-03-31,2026-05-30,234200000.0,782600000.0,-1167700000.0,4625200000.0,130156012,910200000.0,-0.7794810310867517,0.2992588806542295,-3.9609488738545857,
VRSK,2026-06-30,2026-08-29,228600000.0,806300000.0,-1189000000.0,4617100000.0,130156012,885500000.0,-0.7447434819175778,0.2835173012526355,-3.883179142136249,-0.09751283063560995
