ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
VST,2021-12-31,2022-03-01,,,,,335635195,,,,,
VST,2022-12-31,2023-03-01,-1227000000.0,13728000000.0,4902000000.0,13336000000.0,335635195,-1227000000.0,-0.2503059975520196,-0.08937937062937062,2.7205222358221133,
VST,2023-12-31,2024-02-29,1493000000.0,14779000000.0,5307000000.0,14677000000.0,335635195,1493000000.0,0.2813265498398342,0.10102172000811963,2.765592613529301,2.2167889160554197
VST,2024-12-31,2025-03-01,,,,,335635195,,,,,
VST,2025-03-31,2025-05-30,,,,,335635195,,,,,
VST,2025-06-30,2025-08-29,327000000.0,4250000000.0,4823000000.0,18045000000.0,335635195,,,0.07694117647058824,3.74144723201327,
VST,2025-09-30,2025-11-29,652000000.0,4971000000.0,5210000000.0,17502000000.0,335635195,,,0.13116073224703279,3.3593090211132437,
VST,2025-12-31,2026-03-01,233000000.0,4584000000.0,5097000000.0,20068000000.0,335635195,,,0.05082897033158813,3.9372179713556994,
VST,2026-03-31,2026-05-30,1029000000.0,5640000000.0,5597000000.0,19913000000.0,335635195,2241000000.0,0.40039306771484723,0.1824468085106383,3.5577988207968554,
VST,2026-06-30,2026-08-29,305000000.0,4017000000.0,5482000000.0,19895000000.0,335635195,2219000000.0,0.4047792776358993,0.07592730893701767,3.6291499452754468,-0.0672782874617737
