ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
VTR,2021-12-31,2022-03-01,,,,,512946359,,,,,
VTR,2022-12-31,2023-03-01,-47447000.0,4129193000.0,10152968000.0,12487220000.0,512946359,-47447000.0,-0.004673214768331782,-0.011490622986137969,1.2299083381332434,
VTR,2023-12-31,2024-02-29,-40973000.0,4497827000.0,9488058000.0,13685630000.0,512946359,-40973000.0,-0.0043183757940771445,-0.0091095099922696,1.4424058116002243,0.13644698294939617
VTR,2024-12-31,2025-03-01,,,,,512946359,,,,,
VTR,2025-03-31,2025-05-30,,,,,512946359,,,,,
VTR,2025-06-30,2025-08-29,68264000.0,1420893000.0,11529388000.0,13273745000.0,512946359,,,0.04804302646293563,1.151296582264384,
VTR,2025-09-30,2025-11-29,66047000.0,1488996000.0,12361924000.0,12787722000.0,512946359,,,0.04435673433642535,1.034444314655227,
VTR,2025-12-31,2026-03-01,70202000.0,1566017000.0,12527253000.0,13219618000.0,512946359,,,0.04482837670344575,1.0552687009674029,
VTR,2026-03-31,2026-05-30,55912000.0,1656944000.0,13124964000.0,12726149000.0,512946359,260425000.0,0.019841959185564244,0.03374404928591431,0.9696140118936707,
VTR,2026-06-30,2026-08-29,70570000.0,1729614000.0,14649399000.0,12918999000.0,512946359,262731000.0,0.017934592402050076,0.040801011092648415,0.8818791132660118,0.033780616430329306
