ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
WAB,2021-12-31,2022-03-01,,,,,168910851,,,,,
WAB,2022-12-31,2023-03-01,633000000.0,8362000000.0,10102000000.0,4002000000.0,168910851,633000000.0,0.0626608592357949,0.07569959339870844,0.39615917640071274,
WAB,2023-12-31,2024-02-29,815000000.0,9677000000.0,10487000000.0,4069000000.0,168910851,815000000.0,0.0777152665204539,0.0842203162137026,0.38800419567083055,0.28751974723538704
WAB,2024-12-31,2025-03-01,,,,,168910851,,,,,
WAB,2025-03-31,2025-05-30,,,,,168910851,,,,,
WAB,2025-06-30,2025-08-29,336000000.0,2706000000.0,10801000000.0,4784000000.0,168910851,,,0.12416851441241686,0.44292195167114157,
WAB,2025-09-30,2025-11-29,310000000.0,2886000000.0,11048000000.0,5285000000.0,168910851,,,0.10741510741510742,0.47836712527154235,
WAB,2025-12-31,2026-03-01,202000000.0,2965000000.0,11142000000.0,5541000000.0,168910851,,,0.06812816188870152,0.4973074851911686,
WAB,2026-03-31,2026-05-30,362000000.0,2950000000.0,11103000000.0,6538000000.0,168910851,1210000000.0,0.1089795550752049,0.12271186440677966,0.5888498603980906,
WAB,2026-06-30,2026-08-29,395000000.0,3179000000.0,11214000000.0,6571000000.0,168910851,1269000000.0,0.11316211878009631,0.12425290972003775,0.5859639736044231,0.17559523809523808
