ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
WAT,2021-12-31,2022-03-01,,,,,98185855,,,,,
WAT,2022-12-31,2023-03-01,707755000.0,2971956000.0,504488000.0,1663415000.0,98185855,707755000.0,1.402917413298235,0.23814450819594907,3.297234027370324,
WAT,2023-12-31,2024-02-29,642234000.0,2956416000.0,1150341000.0,2442264000.0,98185855,642234000.0,0.5582988000949284,0.21723397519158333,2.1230782872209195,-0.09257582072892456
WAT,2024-12-31,2025-03-01,,,,,98185855,,,,,
WAT,2025-03-31,2025-05-30,121000000.0,662000000.0,1962397000.0,1536279000.0,98185855,,,0.18277945619335348,0.7828584124415192,
WAT,2025-06-30,2025-08-29,147111000.0,771332000.0,2159812000.0,1538368000.0,98185855,,,0.19072332017860014,0.7122694012256622,
WAT,2025-09-30,2025-11-29,148923000.0,799887000.0,2330693000.0,1486165000.0,98185855,,,0.18618004793177037,0.6376494029887249,
WAT,2025-12-31,2026-03-01,225214000.0,932362000.0,2561242000.0,1491084000.0,98185855,642248000.0,0.25075646893186976,0.24155210100797758,0.5821722429977332,
WAT,2026-03-31,2026-05-30,-72000000.0,1267000000.0,15292000000.0,5570000000.0,98185855,449248000.0,0.02937797541198012,-0.056827150749802685,0.3642427413026419,-1.5950413223140496
WAT,2026-06-30,2026-08-29,,,,,98185855,,,,,
