ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
WELL,2021-12-31,2022-03-01,,,,,720572011,,,,,
WELL,2022-12-31,2023-03-01,141214000.0,5776068000.0,20294814000.0,14963912000.0,720572011,141214000.0,0.006958132259797995,0.024448119378095965,0.7373268855777638,
WELL,2023-12-31,2024-02-29,340094000.0,6478231000.0,25404376000.0,16118779000.0,720572011,340094000.0,0.013387221162212368,0.052497973598039344,0.6344882865849568,1.4083589445805658
WELL,2024-12-31,2025-03-01,,,,,720572011,,,,,
WELL,2025-03-31,2025-05-30,257957000.0,2388587000.0,33956759000.0,17009584000.0,720572011,,,0.10799564763602917,0.5009189481245839,
WELL,2025-06-30,2025-08-29,301888000.0,2516141000.0,35900526000.0,17306750000.0,720572011,,,0.1199805575283738,0.4820751094287588,
WELL,2025-09-30,2025-11-29,280559000.0,2628061000.0,38756818000.0,18163962000.0,720572011,,,0.10675513239608975,0.46866494561034394,
WELL,2025-12-31,2026-03-01,96441000.0,3134347000.0,42129498000.0,21380295000.0,720572011,936845000.0,0.02223726947802701,0.03076908842575503,0.5074899064783539,
WELL,2026-03-31,2026-05-30,728672000.0,3305702000.0,43793675000.0,19984841000.0,720572011,1407560000.0,0.03214071438398353,0.22042882268274636,0.45634080720560677,1.8247808743317684
WELL,2026-06-30,2026-08-29,,,,,720572011,,,,,
