ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
WTW,2021-12-31,2022-03-01,,,,,92871937,,,,,
WTW,2022-12-31,2023-03-01,1009000000.0,8866000000.0,10016000000.0,5479000000.0,92871937,1009000000.0,0.1007388178913738,0.11380554928942026,0.5470247603833865,
WTW,2023-12-31,2024-02-29,1055000000.0,9483000000.0,9520000000.0,5941000000.0,92871937,1055000000.0,0.11081932773109243,0.11125171359274491,0.6240546218487395,0.04558969276511397
WTW,2024-12-31,2025-03-01,,,,,92871937,,,,,
WTW,2025-03-31,2025-05-30,,,,,92871937,,,,,
WTW,2025-06-30,2025-08-29,331000000.0,2261000000.0,8100000000.0,5935000000.0,92871937,,,0.14639540026536932,0.7327160493827161,
WTW,2025-09-30,2025-11-29,304000000.0,2288000000.0,7735000000.0,5911000000.0,92871937,,,0.13286713286713286,0.7641887524240465,
WTW,2025-12-31,2026-03-01,735000000.0,2936000000.0,7976000000.0,6903000000.0,92871937,,,0.2503405994550409,0.8654714142427282,
WTW,2026-03-31,2026-05-30,297000000.0,2412000000.0,7977000000.0,6906000000.0,92871937,1667000000.0,0.20897580544064184,0.12313432835820895,0.8657389996239188,
WTW,2026-06-30,2026-08-29,229000000.0,2466000000.0,7688000000.0,7101000000.0,92871937,1565000000.0,0.2035639958376691,0.09286293592862936,0.9236472424557752,-0.3081570996978852
