ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ZTS,2021-12-31,2022-03-01,,,,,413223602,,,,,
ZTS,2022-12-31,2023-03-01,2114000000.0,8080000000.0,4405000000.0,8090000000.0,413223602,2114000000.0,0.47990919409761634,0.26163366336633664,1.8365493757094211,
ZTS,2023-12-31,2024-02-29,2344000000.0,8544000000.0,4997000000.0,6755000000.0,413223602,2344000000.0,0.46908144886932157,0.2743445692883895,1.3518110866519912,0.10879848628192999
ZTS,2024-12-31,2025-03-01,,,,,413223602,,,,,
ZTS,2025-03-31,2025-05-30,,,,,413223602,,,,,
ZTS,2025-06-30,2025-08-29,726000000.0,2474000000.0,4977000000.0,6791000000.0,413223602,,,0.29345189975747776,1.3644765923246935,
ZTS,2025-09-30,2025-11-29,721000000.0,2400000000.0,5398000000.0,7273000000.0,413223602,,,0.30041666666666667,1.3473508706928492,
ZTS,2025-12-31,2026-03-01,603000000.0,2387000000.0,3331000000.0,9238000000.0,413223602,,,0.25261834939254296,2.773341338937256,
ZTS,2026-03-31,2026-05-30,601000000.0,2262000000.0,3233000000.0,9238000000.0,413223602,2651000000.0,0.8199814413857098,0.2656940760389036,2.8574079802041448,
ZTS,2026-06-30,2026-08-29,691000000.0,2468000000.0,3148000000.0,9238000000.0,413223602,2616000000.0,0.8310038119440915,0.2799837925445705,2.934561626429479,-0.048209366391184574
